Fedor|Fet|(0;0)|NULL|NULL|3|5
German|qwerty|(1;9)|NULL|NULL|3|5
123|d4got10|(5;0)|NULL|NULL|1|3
Matvey|QWERTY|(10;5)|FEDORI|#ff00ff|4|4
0|0|(1;1)|0|#ff0aaa|9|1
1|1|(2;2)|1|#ff0aaa|6|2
2|2|(3;3)|2|#ff0aaa|2|3
3|3|(4;4)|3|#ff0aaa|3|4
4|4|(5;5)|4|#ff0aaa|5|5
5|5|(6;6)|5|#ff0aaa|4|6
6|6|(7;7)|6|#ff0aaa|7|7
7|7|(8;8)|7|#ff0aaa|8|8
8|8|(9;9)|8|#ff0aaa|1|9
10|10|(10;9)|10|#ff0aaa|1|9
11|11|(11;9)|20|#ff0aaa|1|9
12|12|(12;9)|30|#ff0aaa|1|9
13|13|(13;9)|40|#ff0aaa|1|9
14|14|(14;9)|50|#ff0aaa|1|9
15|15|(15;9)|60|#ff0aaa|1|9
16|16|(16;9)|70|#ff0aaa|1|9
17|17|(17;9)|80|#ff0aaa|1|9
18|18|(18;9)|90|#ff0aaa|1|9
19|19|(19;9)|9|#ff0aaa|1|9
